Id,review,ratings
961daa60-85f2-4898-8836-7b2d38afa288,Good,5
000cc52d-01db-41d7-bde4-89784561ac80,"Yeah good but I only use it to watch anime but sadly none of the animes are complete if you would like to put more seasons in like ""fairy tail"" I would appreciate it other then that it's good",5
6164b6b1-d80b-4930-a83d-1b954defec00,"Lately theres been an issue with having inconsistent subtitle formats, changed it to default more than 10 times since yesterday, and its a hit and miss for some reason. Either no drop shadow or with black background. Its very inconvenient, and changes dont happen real time. Most of the time after resetting, i still had to restart my device and play a different flick for it to take effect but sadly this only helps 2/5 attempts. This is a glitch and this needs to be resolved by the developer.",1
1e0f1f7e-822e-411d-b22d-8a4b370301e2,Play store is not allowing me to download Netflix. It just pends and then when I scroll down it says beta programme is full,1
e67f4cda-0c10-47a3-aaf1-40dcfff20441,66666and to t,5
dbafe2ac-40db-454f-a1bf-00b40f43e30d,Nice,5
6e960c54-f4c8-44fb-9830-e4cf684650eb,Excellent,5
cb55e9ed-c212-49dd-819e-4a61d9bc0c3d,It was very good to use it,5
4dc0c656-ee63-4ad8-b93b-f0c3b40fb568,Suddenly stops remember from the point I was watching and goes back to the start,1
a409ae4c-2329-46f7-9ca4-60cd51c5d5e1,"when opening the app, suddenly close it down",2
cb89a772-a7e2-4c67-9300-a9dbe28f4b3a,Omg,5
0060df78-af5f-4a4e-a872-06e2f24835aa,"There is a problem with the brightness. Even when on the highest brightness, the video playing is still extremely dark/dimmed. I have tried this with brightly coloured shows and it still happens. I have uninstalled and reinstalled to try and fix it too.",3
e1de24dd-c86f-46c6-82e9-7a0bb5b0e608,Awesome,5
56fdb000-eabb-47a3-a14b-e311fc960d4e,Amazing app but some shows and movies just don't look the same as they should like dragon ball super belly and the death note movie didn't even get the names right,4
3920b8d6-d40b-44a1-8c5c-adbd333878c1,Awesome and free 🎬,3
46522e72-285b-4e59-aad8-ecc396432309,Good,5
13f9223b-9a24-4246-96e8-40e31f662681,I feel for this app is good but ther are a problems of disney snow why no disney movies,5
3d099eef-8b79-497e-a3c3-69a5f04a48ac,"I decided to cancel my subscription with Netflix because they do not update or add movies in their platforms as I like to watch Egyptian movies as an Arabic expat in Hong Kong I have been waiting too long to see any new movies added but there was nothing hopefully , will improve their platforms and give some attention to other people from other side of the world",1
e4757899-66cd-43a5-9224-e382e95653db,Y is it so hard to download,2
